,title,position,country,genre,original name,year,rating,count,rating_IMBD,position_IMDB,2010-2021,2000-2009,1990-1999,1980-1989,before 1980,delta,main_genre
347,101 далматинец,348,США,"мультфильм, семейный",One Hundred and One Dalmatians,1961,8.0,80 865,,,0,0,0,0,1,,мультфильм
348,Хищник,349,"США, Мексика","фантастика, боевик",Predator,1987,7.9,136 060,,,0,0,0,1,0,,фантастика
349,Город грехов,350,США,"боевик, триллер",Sin City,2005,7.9,210 653,8.0,377.0,0,1,0,0,0,-0.09999999999999964,боевик
350,Гамильтон,351,США,"мюзикл, драма",Hamilton,2020,8.3,1 779,8.5,35.0,1,0,0,0,0,-0.1999999999999993,мюзикл
351,Афоня,352,СССР,"драма, мелодрама",-,1975,8.0,125 791,,,0,0,0,0,1,,драма
352,Kingsman: Секретная служба,353,"Великобритания, США","боевик, комедия",Kingsman: The Secret Service,2015,7.6,308 998,,,1,0,0,0,0,,боевик
353,Одиннадцать друзей Оушена,354,США,"триллер, криминал",Ocean's Eleven,2001,8.1,300 237,,,0,1,0,0,0,,триллер
354,Мемуары гейши,355,"США, Япония","драма, мелодрама",Memoirs of a Geisha,2005,8.0,109 520,,,0,1,0,0,0,,драма
355,Писатели свободы,356,"Германия, США","драма, криминал",Freedom Writers,2006,8.0,45 514,,,0,1,0,0,0,,драма
356,Маленький принц,357,"Франция, Канада","мультфильм, фэнтези",Le Petit Prince,2015,7.9,54 548,,,1,0,0,0,0,,мультфильм
357,Собачья жизнь 2,358,"США, Китай","фэнтези, драма",A Dog's Journey,2019,8.0,62 879,,,1,0,0,0,0,,фэнтези
358,Типа крутые легавые,359,"Великобритания, Франция","боевик, триллер",Hot Fuzz,2007,7.6,140 751,,,0,1,0,0,0,,боевик
359,Патриот,360,"США, Германия","боевик, драма","Patriot, The",2000,7.9,71 348,,,0,1,0,0,0,,боевик
360,Шерлок Холмс и доктор Ватсон: Двадцатый век начинается,361,СССР,"триллер, криминал",-,1986,8.2,45 988,,,0,0,0,1,0,,триллер
361,Ла-Ла Ленд,362,"США, Гонконг","мюзикл, драма",La La Land,2016,7.9,224 944,8.0,340.0,1,0,0,0,0,-0.09999999999999964,мюзикл
362,Схватка,363,США,"триллер, драма",Heat,1995,8.0,114 402,8.2,168.0,0,0,1,0,0,-0.1999999999999993,триллер
363,Холодное лето пятьдесят третьего...,364,СССР,"драма, криминал",-,1987,8.1,56 970,,,0,0,0,1,0,,драма
364,Век Адалин,365,"США, Канада","драма, мелодрама","Age of Adaline, The",2015,7.6,207 435,,,1,0,0,0,0,,драма
365,Нефть,366,США,драма,There Will Be Blood,2007,7.8,92 847,8.2,155.0,0,1,0,0,0,-0.39999999999999947,драма
366,Логан,367,США,"фантастика, боевик",Logan,2017,7.5,255 267,8.1,204.0,1,0,0,0,0,-0.5999999999999996,фантастика
367,Полночь в Париже,368,"США, Испания","фэнтези, мелодрама",Midnight in Paris,2011,7.7,155 050,,,1,0,0,0,0,,фэнтези
368,Учитель на замену,369,США,драма,Detachment,2011,7.8,90 710,,,1,0,0,0,0,,драма
369,Лило и Стич,370,США,"мультфильм, фантастика",Lilo & Stitch,2002,7.6,63 183,,,0,1,0,0,0,,мультфильм
370,Ковбой Бибоп,371,"Япония, США","аниме, мультфильм",Cowboy Bebop: Tengoku no tobira,2001,7.9,15 598,,,0,1,0,0,0,,аниме
371,Моана,372,США,"мультфильм, мюзикл",Moana,2016,7.6,241 691,,,1,0,0,0,0,,мультфильм
372,Сталкер,373,СССР,"фантастика, драма",-,1979,8.1,93 135,8.1,285.0,0,0,0,0,1,0.0,фантастика
373,Фрида,374,"Мексика, США","драма, мелодрама",Frida,2002,7.9,52 076,,,0,1,0,0,0,,драма
374,На несколько долларов больше,375,"Италия, Испания","вестерн, драма",Per qualche dollaro in più,1965,8.2,50 854,8.2,182.0,0,0,0,0,1,0.0,вестерн
375,Эдвард руки-ножницы,376,США,"фэнтези, драма",Edward Scissorhands,1990,8.0,181 349,,,0,0,1,0,0,,фэнтези
376,Шерлок Холмс: Игра теней,377,"США, Великобритания","боевик, приключения",Sherlock Holmes: A Game of Shadows,2011,7.8,255 708,,,1,0,0,0,0,,боевик
377,ДМБ,378,Россия,комедия,-,2000,7.8,48 613,,,0,1,0,0,0,,комедия
378,Вперёд,379,США,"мультфильм, фэнтези",Onward,2019,7.7,96 332,,,1,0,0,0,0,,мультфильм
379,Искусственный разум,380,"США, Великобритания","фантастика, драма",Artificial Intelligence: AI,2001,7.9,129 482,,,0,1,0,0,0,,фантастика
380,Ральф,381,США,"мультфильм, фэнтези",Wreck-It Ralph,2012,7.8,163 254,,,1,0,0,0,0,,мультфильм
381,Смертельное оружие,382,США,"боевик, триллер",Lethal Weapon,1987,8.0,76 758,,,0,0,0,1,0,,боевик
382,Рапунцель: Запутанная история,383,США,"мультфильм, мюзикл",Tangled,2010,7.9,312 595,,,1,0,0,0,0,,мультфильм
383,1917,384,"США, Великобритания","военный, боевик",1917,2019,7.9,140 374,8.3,88.0,1,0,0,0,0,-0.40000000000000036,военный
384,Индиана Джонс: В поисках утраченного ковчега,385,США,"приключения, боевик",Raiders of the Lost Ark,1981,8.0,120 408,8.4,77.0,0,0,0,1,0,-0.40000000000000036,приключения
385,Секреты Лос-Анджелеса,386,США,"триллер, драма",L.A. Confidential,1997,7.9,76 465,8.2,166.0,0,0,1,0,0,-0.29999999999999893,триллер
386,…А в душе я танцую,387,"Великобритания, Ирландия","драма, комедия",Inside I'm Dancing,2004,8.1,147 828,,,0,1,0,0,0,,драма
387,Жизнь Пи,388,"США, Тайвань","фэнтези, драма",Life of Pi,2012,7.8,238 933,,,1,0,0,0,0,,фэнтези
388,Форсаж,389,"США, Германия","боевик, триллер","Fast and the Furious, The",2001,7.7,181 457,,,0,1,0,0,0,,боевик
389,Невидимый гость,390,Испания,"триллер, драма",Contratiempo,2016,7.8,210 081,8.1,200.0,1,0,0,0,0,-0.2999999999999998,триллер
390,Убойные каникулы,391,Канада,"ужасы, комедия",Tucker and Dale vs Evil,2010,7.6,154 919,,,1,0,0,0,0,,ужасы
391,Шерлок Холмс и доктор Ватсон: Король шантажа,392,СССР,"криминал, детектив",-,1980,8.3,82 357,,,0,0,0,1,0,,криминал
392,Мумия,393,"США, Великобритания","фэнтези, приключения","Mummy, The",1999,7.8,170 655,,,0,0,1,0,0,,фэнтези
393,Матрица: Революция,394,США,"фантастика, боевик","Matrix Revolutions, The",2003,7.6,176 363,,,0,1,0,0,0,,фантастика
394,Белорусский вокзал,395,СССР,драма,-,1971,8.1,19 479,,,0,0,0,0,1,,драма
395,Десять негритят,396,СССР,"криминал, детектив",-,1987,8.1,53 114,,,0,0,0,1,0,,криминал
396,Опасная игра Слоун,397,"Франция, США","триллер, драма",Miss Sloane,2016,7.7,95 588,,,1,0,0,0,0,,триллер
397,Темные воды,398,США,"триллер, драма",Dark Waters,2019,7.7,69 250,,,1,0,0,0,0,,триллер
398,Невероятные приключения итальянцев в России,399,"СССР, Италия","комедия, приключения",-,1973,8.0,141 410,,,0,0,0,0,1,,комедия
399,Человек-слон,400,"США, Великобритания","драма, биография","Elephant Man, The",1980,8.1,58 251,8.1,284.0,0,0,0,1,0,0.0,драма
400,Полосатый рейс,401,СССР,"комедия, семейный",-,1961,8.0,103 491,,,0,0,0,0,1,,комедия
401,Три плюс два,402,СССР,"мелодрама, комедия",-,1963,8.0,83 415,,,0,0,0,0,1,,мелодрама
402,Любовное настроение,403,Гонконг,"драма, мелодрама",Faa yeung nin wa,2000,7.9,26 854,8.1,259.0,0,1,0,0,0,-0.1999999999999993,драма
403,Амели,404,"Франция, Германия","мелодрама, комедия","Fabuleux destin d'Amélie Poulain, Le",2001,8.0,244 454,8.3,99.0,0,1,0,0,0,-0.3000000000000007,мелодрама
404,Парк Юрского периода,405,США,"приключения, фантастика",Jurassic Park,1993,7.8,137 708,,,0,0,1,0,0,,приключения
405,Леди и бродяга,406,США,"мультфильм, драма",Lady and the Tramp,1955,8.2,110 620,,,0,0,0,0,1,,мультфильм
406,Майор Пэйн,407,США,"комедия, приключения",Major Payne,1995,7.6,105 345,,,0,0,1,0,0,,комедия
407,Стражи Галактики. Часть 2,408,США,"фантастика, боевик",Guardians of the Galaxy Vol. 2,2017,7.6,317 237,,,1,0,0,0,0,,фантастика
408,Как приручить дракона 2,409,США,"мультфильм, фэнтези",How to Train Your Dragon 2,2014,7.9,203 086,,,1,0,0,0,0,,мультфильм
409,Бемби,410,США,"мультфильм, драма",Bambi,1942,8.1,62 947,,,0,0,0,0,1,,мультфильм
